seg_idx,circuitid,substation,division,mid_lat,mid_lon
1160,043292103,04329,North Bay,38.315771359373485,-122.32928800996439
1161,043292104,04329,North Bay,38.36068854808954,-122.3362481147156
1162,043301104,04330,Sonoma,38.45106785010937,-122.74411147129912
1163,043301105,04330,Sonoma,38.44197699132727,-122.75995594165168
1164,043301106,04330,Sonoma,38.4654740217463,-122.75096704635634
1165,043302102,04330,Sonoma,38.476353857366334,-122.74326154450037
1166,043302103,04330,Sonoma,38.48050398477392,-122.68903260133672
1167,043302107,04330,Sonoma,38.470584016947164,-122.71706699107501
1168,043311102,04331,Humboldt,38.95022679269323,-122.84152152062921
1169,043311108,04331,Humboldt,38.98577514901777,-122.74027400149991
1170,043321101,04332,Sonoma,38.488904058317246,-122.59100798514316
1171,043321101,04332,Sonoma,38.433724019730334,-122.59513507347869
1172,043321102,04332,Sonoma,38.490965028142696,-122.66784652127939
1173,043321103,04332,Sonoma,38.54390939698174,-122.66959395114601
1174,043321104,04332,Sonoma,38.48479261780361,-122.66784874647134
1175,043351103,04335,Humboldt,39.15109172707488,-122.8950587215441
1176,043351106,04335,Humboldt,39.01731495887424,-122.75227829469841
1177,043361102,04336,Humboldt,38.96691028884345,-122.63824904792493
1178,043361103,04336,Humboldt,38.84605672554774,-122.53959042345573
1179,043361104,04336,Humboldt,38.93813413882681,-122.6205483817485
1180,043371101,04337,Sonoma,38.22776440633872,-122.57828606196338
1181,043371102,04337,Sonoma,38.283806030206826,-122.56664738064325
1182,043371105,04337,Sonoma,38.237337213374175,-122.60168646714901
1183,043381101,04338,Humboldt,38.91270462221233,-123.67303482393918
1184,043411101,04341,Humboldt,39.20661785297162,-123.15527689501019
1185,043411102,04341,Humboldt,39.19582920140913,-123.19309479374255
1186,043432102,04343,North Bay,38.491978620982174,-122.41584978573677
1187,043432103,04343,North Bay,38.49363482876487,-122.45994754820896
1188,043432104,04343,North Bay,38.6393428761709,-122.42535977445078
1189,043432105,04343,North Bay,38.48985499386798,-122.49625159787672
1190,043471101,04347,Sonoma,38.34411206250666,-122.60183670037559
1191,043471102,04347,Sonoma,38.31571012829136,-122.6812107527505
1192,043491101,04349,Sonoma,38.24812615609348,-122.67572214508391
1193,043491102,04349,Sonoma,38.2686878774412,-122.66440703216907
1194,043491103,04349,Sonoma,38.27747343707255,-122.65311173887962
1195,043501101,04350,Sonoma,38.54536976842292,-122.8181205982331
1196,043501102,04350,Sonoma,38.56506384001138,-122.83378292329552
1197,043501103,04350,Sonoma,38.567731776364425,-122.80598805252433
1198,062021101,06202,Sacramento,39.21829726605317,-122.01752611072624
1199,062021103,06202,Sacramento,39.20748043741965,-122.01550441655284
1200,062021104,06202,Sacramento,39.209465556359255,-121.99954274669443
